generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.4,10,300,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.4,10,300,1,0.0,2.27587083942e-08,1.05363469004e-05,0.000487243510596,0.0111775364746,0.108275435106,0.477167458865,0.249973001205,0.111158704863,0.0417500608704
2,0.4,10,300,1,0.0181779658434,0.0181795527468,0.0182845699291,0.0205765240485,0.0416454138684,0.134799128924,0.303754551462,0.231228362936,0.139886234638,0.0734676956041
3,0.4,10,300,1,0.0410230143056,0.0387024878976,0.0390736965925,0.0424658952309,0.0677201873811,0.139042179749,0.231804729931,0.19289309381,0.132182452299,0.0750922628036
4,0.4,10,300,1,0.0641867793783,0.0569345506687,0.0576130489518,0.0606879138668,0.0855888218202,0.136321333866,0.193884344652,0.16211725466,0.115700122869,0.0669658292669
5,0.4,10,300,1,0.0866484498108,0.0721512568473,0.073003146844,0.0744166595182,0.0965503620218,0.131200127082,0.169491552807,0.138986455746,0.099807898746,0.0577440905765
6,0.4,10,300,1,0.108357252155,0.0846751333883,0.085432146478,0.0841945473746,0.102576149702,0.125265963285,0.151646307236,0.121400527487,0.0866474647176,0.0498045081771
7,0.4,10,300,1,0.129476736041,0.0949896318196,0.0953113350567,0.0908252592287,0.105270811546,0.11916385668,0.137613527801,0.107734570434,0.0761737285152,0.0434405428788
8,0.4,10,300,1,0.150173033593,0.103512508371,0.103042112881,0.0950453760625,0.105770354803,0.113187102142,0.126121263244,0.0968775889032,0.0678603084007,0.0384103515988
9,0.4,10,300,1,0.170569011831,0.110563494949,0.108968520444,0.0974514905446,0.1048430496,0.107473168195,0.116467811286,0.088070774984,0.0611864566924,0.0344062214736
