generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
0,1,10,100,10,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.0103636291765,0.00976746092824,0.00818858930821,0.00732261022335,0.00662583632643,0.00593269561061,0.00528423178014,0.00494651835322,0.00466444807414,0.00417735433649
1,1,10,100,10,0.0296137903452,0.0289313268848,0.028115058924,0.0271915368367,0.0264784330674,0.0257980404393,0.025008872959,0.0243577015435,0.0236272946541,0.0227561112829,0.0221383041399,0.0215804380733,0.0208839777254,0.0202851666529,0.0196359208451,0.0190947246062,0.018559947235,0.0180755364724,0.017617055007,0.0171668906438,0.016694265965,0.0162639713322,0.0157745785611,0.0154356083848,0.0150832090217,0.0146746256042,0.0142767507693,0.0139359963994,0.0135743803922,0.0132173577382,0.0129368772293,0.0126154907736,0.0122909174886,0.0119929669882,0.0116785251287,0.0113584921617,0.011026905584,0.0107947113309,0.0105244816308,0.0102444481038,0.00999379367707,0.00972276532032,0.00946452416769,0.00924797331614,0.00903329779779,0.00880476722042,0.00858020396351,0.00837345002801,0.00818854471451,0.00797127969531,0.00773609408061,0.00751384769112,0.00729205009264,0.00708853634761,0.00691432701661,0.00671623898522,0.00649927801975,0.00633890195905,0.00616485245608,0.00599430179926,0.00578965078247,0.00561185698486,0.00544863836198,0.00528022016866,0.00513389732095,0.00497187236636,0.00481945401054,0.00468121652586,0.00453261940855,0.00436406033112,0.00421543707449,0.00406858134828,0.00392454767824,0.00380492297623,0.00365386673662,0.00354463509874,0.00340032534562,0.00326504398078,0.00313187601954,0.00298232670767,0.00284561444014,0.00270951702167,0.00256331835859,0.00244987238872,0.00232115548854,0.00221325889529,0.00208515944337,0.00195577854038,0.00183476920594,0.00174294387931,0.00162528941578,0.00151682506072,0.00140547475502,0.00130219284004,0.00120724782742,0.00111099737331,0.00101722318427,0.000921029691928,0.000836810650414,0.000760755037195
2,1,10,100,10,0.0499735513128,0.048023430415,0.0457161758397,0.0431134080106,0.0411611256715,0.0392973325725,0.037178695522,0.0355094782137,0.0336258345019,0.0314331811328,0.0299169673454,0.0285576596148,0.0268563050549,0.0254398232178,0.0239483803382,0.022722253046,0.0215308926537,0.0204996255269,0.0195590485985,0.0186259459531,0.0176536982604,0.0168140941182,0.0158494262099,0.0152075050124,0.0145340263147,0.0138005761421,0.0130845200192,0.0125103922026,0.011889818033,0.0112877414594,0.0108449112548,0.0103497209319,0.0098531299058,0.00941852399564,0.0089485811528,0.00847411986747,0.00802770698031,0.00771646052227,0.00735788783342,0.00698717546944,0.00667316788733,0.00633591941613,0.00601930905381,0.00576254619316,0.00551800427196,0.00525898387545,0.00502150562837,0.00479113037329,0.00460460945123,0.00438395422198,0.0041418239855,0.00392754647666,0.00372188195411,0.00352761997402,0.00337786008082,0.00320447891916,0.00302229214526,0.00289143972346,0.00275272659435,0.00262055551698,0.00246703704798,0.00233512039974,0.00221191688484,0.00209843456595,0.00200320229412,0.00189250030781,0.00179509042118,0.00170597848527,0.00162121724721,0.00152349317708,0.00143755075018,0.00136082970199,0.00128449206925,0.00122100282388,0.00114099484689,0.00108850302589,0.00102039005821,0.000958221276433,0.000897368547328,0.000832720284397,0.000776633491009,0.000724099944957,0.000667771001754,0.000624700647276,0.000580066726737,0.000542641129735,0.000499939653553,0.000458889244312,0.00042388040539,0.000398839932256,0.000364255231295,0.000335227160143,0.000309258409738,0.000284553130353,0.000263455438851,0.000240917171665,0.00021820748531,0.000196865521343,0.000176690538571,0.00016055754977
3,1,10,100,10,0.0662845503629,0.0629937029023,0.0591296826718,0.0547794295647,0.0515830907946,0.0485295855103,0.045108714749,0.0425051987056,0.0395516799973,0.0361738945543,0.0338814246984,0.0318350055021,0.029265309603,0.027179608287,0.0250306861281,0.0232806079717,0.0216032185891,0.0202021031725,0.018962044115,0.0177154750095,0.0164246105304,0.0153586345518,0.014118030013,0.0133206235581,0.0124754948012,0.0116037335934,0.0107500716515,0.0101065508155,0.00939400027684,0.00871105891288,0.00823856301661,0.00772230796142,0.0072040433261,0.00677258720864,0.00628806380215,0.00580345138822,0.00539144487817,0.00510322748975,0.00477268656559,0.0044291836098,0.00415716481845,0.00385777935594,0.00358358677911,0.00336721219249,0.00316763310723,0.00295348564709,0.00277705257393,0.00258987155702,0.00245460002884,0.00229173403097,0.0021080351881,0.0019560413019,0.00181713828267,0.00167623012574,0.00158182180193,0.00147038307688,0.00135818953677,0.00127694789182,0.00119540767988,0.00111928171932,0.00103336572177,0.000958420943187,0.000888101480008,0.000829505857206,0.00078152659182,0.000723003455268,0.000673734907097,0.000627750598322,0.000589830483058,0.000544535418191,0.000504482676067,0.000472132643101,0.000439091719089,0.000411314931179,0.000375580034086,0.000354587768165,0.000327251583096,0.000302747639956,0.000278057614444,0.000253617911402,0.000232975040156,0.000214688650338,0.000194862034546,0.00017970215143,0.000165004849062,0.000152584025894,0.0001387347602,0.000125381414604,0.000114992470479,0.000107663578708,9.67214214807e-05,8.82106009531e-05,8.10254360409e-05,7.40938593135e-05,6.85450939434e-05,6.21451781567e-05,5.58193151458e-05,5.00885495276e-05,4.46097489772e-05,4.05343079221e-05
4,1,10,100,10,0.0773828983314,0.0730179424995,0.0679187472991,0.0621853508741,0.0580311953669,0.0540603523308,0.0496557587463,0.04638385971,0.0426568713745,0.0384456343292,0.0356242495721,0.0331118002558,0.0299474923709,0.0274260430324,0.0248666974568,0.02279481423,0.0208289288547,0.0192283326946,0.0178427849529,0.0164323854661,0.0149785629778,0.0138183173824,0.0124513514443,0.0115960515234,0.010681366648,0.00977685697917,0.00888851356942,0.00825260953817,0.00753101610849,0.00684456704621,0.00639303788206,0.00590971431206,0.00542144653346,0.00503346162071,0.00457878074844,0.00412841105398,0.0037806000242,0.00353505521929,0.00325360519939,0.00295807671401,0.00274045672332,0.00248934992903,0.00226663333866,0.00209409440932,0.00193876164414,0.00176722086988,0.00164410528725,0.00149739768923,0.00140325364488,0.00128706697115,0.00115055078628,0.0010451226081,0.000954365380542,0.000851950405723,0.000793858135302,0.000724317419322,0.000657354073873,0.000606472524435,0.000559938649349,0.000517090091249,0.000470142289788,0.000427389679976,0.000387812914537,0.000357586552612,0.00033334635831,0.000302375685092,0.000276910087595,0.000252622122835,0.000235553862424,0.000214123964202,0.000195064275398,0.000181176592187,0.000166542915335,0.000154054324667,0.000137331696648,0.00012869337641,0.000117270099479,0.000107193541676,9.64720530749e-05,8.67715958923e-05,7.85976563591e-05,7.18290615497e-05,6.44019451913e-05,5.86823807025e-05,5.34676738286e-05,4.90312600718e-05,4.41735153924e-05,3.93696966267e-05,3.59830387921e-05,3.35836649281e-05,2.96580060285e-05,2.68700804556e-05,2.46118878461e-05,2.23956103827e-05,2.07341556623e-05,1.86514281016e-05,1.66583214242e-05,1.48488162218e-05,1.31525917699e-05,1.19623664847e-05
5,1,10,100,10,0.0841950017471,0.0790991999123,0.0731655440562,0.0664993417053,0.0617125032576,0.05713489301,0.0520897346815,0.0484012058764,0.0441875394177,0.0394631693969,0.0363244305908,0.0335330478021,0.0300093798021,0.0272359172107,0.0244476438739,0.0221985018304,0.020078938772,0.0183820597436,0.0169348611037,0.015447155441,0.0139184052959,0.012726683142,0.0113090247354,0.0104384410671,0.00950109639565,0.00860097506715,0.00771481340193,0.00710427601182,0.00639722137139,0.00572732341181,0.00530248885112,0.00485498802859,0.004399388866,0.00405060690267,0.00362618296601,0.00320927293346,0.00291164833103,0.00269916263111,0.002455254122,0.00219614897532,0.00201750658734,0.00180008556294,0.0016132865134,0.00147000322576,0.00134314513277,0.00119815614825,0.00110780749161,0.000986611476515,0.00091667658015,0.000828112938758,0.000719280702764,0.000640305417454,0.000576411478173,0.000495428017087,0.00045641841629,0.000409437217738,0.000366114976506,0.000330602001924,0.00030175370833,0.000275403340983,0.000247416018982,0.000220242264785,0.000195812133852,0.000178468694411,0.000164834434193,0.000146638174964,0.000131780419463,0.000117362323801,0.000108810282461,9.73970238488e-05,8.72170080958e-05,8.05550983139e-05,7.32939323477e-05,6.69880377616e-05,5.80617353191e-05,5.40855550519e-05,4.87000882995e-05,4.40272370229e-05,3.86646869597e-05,3.4322519788e-05,3.05778925626e-05,2.77435320939e-05,2.45999784994e-05,2.21460035398e-05,2.00541736491e-05,1.82663124976e-05,1.63391820751e-05,1.43538287356e-05,1.31041160962e-05,1.22019996403e-05,1.05404150736e-05,9.49653515407e-06,8.68147230417e-06,7.86283975232e-06,7.29381864247e-06,6.51094844474e-06,5.7924330843e-06,5.11523246136e-06,4.51156320305e-06,4.11137931897e-06
6,1,10,100,10,0.0881043807872,0.082559989796,0.0761167901617,0.0688816909791,0.063714833117,0.0587723573719,0.0533464698209,0.0494185262545,0.0449230008246,0.0399063361727,0.0365904359019,0.0336435223339,0.0299177199323,0.0270075604335,0.0240987521151,0.0217571535179,0.0195598643705,0.0178187916587,0.0163475041968,0.0148248428857,0.0132631975871,0.0120636739249,0.0106272853765,0.00975555893328,0.00881278222367,0.0079240119308,0.00704754254045,0.00645868721402,0.00576686576839,0.00511269132522,0.00470743782334,0.00428524618239,0.00385258126591,0.00352976701502,0.00312601099204,0.00273178064074,0.00246548717555,0.00227349424032,0.00205270817757,0.00181588041825,0.00166050770174,0.00146278127868,0.0012971070289,0.001170551788,0.00105964881163,0.000929129750696,0.00085663315989,0.000749561709834,0.000692476810734,0.00061865019165,0.00052445611623,0.000459228450523,0.000409129097577,0.000339147805528,0.000309525113693,0.000273855396099,0.000242133121034,0.000214019893277,0.000193640258721,0.000175091912169,0.000155948798368,0.00013606109464,0.000118788888864,0.00010718547318,9.82271136978e-05,8.58215323722e-05,7.56589335088e-05,6.56904895246e-05,6.06409168628e-05,5.34595858244e-05,4.70566727677e-05,4.32784773344e-05,3.90209708433e-05,3.52574654501e-05,2.95961172552e-05,2.7433101062e-05,2.44167218211e-05,2.18429179457e-05,1.86233028433e-05,1.63161897107e-05,1.42353922547e-05,1.2825368318e-05,1.12475796338e-05,9.99157250202e-06,9.0003951375e-06,8.15114130731e-06,7.24834222766e-06,6.2664016942e-06,5.72550140163e-06,5.3214513799e-06,4.45793374782e-06,3.99553879523e-06,3.64759624284e-06,3.28686604291e-06,3.05869914682e-06,2.70841644012e-06,2.40333226787e-06,2.09338287931e-06,1.83968474035e-06,1.68185617436e-06
7,1,10,100,10,0.0902501331536,0.0844483025819,0.0777137596319,0.0701536604263,0.0647720742667,0.0596232500717,0.0539838555066,0.049924996064,0.045274395022,0.0400988725466,0.0366881447493,0.0336580197456,0.029823285138,0.0268415304153,0.0238710524827,0.0214824726254,0.0192467214797,0.0174856683819,0.0160054185578,0.014467093297,0.0128911627377,0.0116910944478,0.0102481714969,0.00937852903021,0.00843547172979,0.00755596707455,0.00668770945923,0.00611310955464,0.00543192084338,0.00478837411528,0.0043951356918,0.00398823543604,0.00356934790564,0.00326170727587,0.00287017793798,0.00248933651415,0.00224077242573,0.00206031551783,0.00185249881289,0.00162809484656,0.00148553660518,0.00129849315347,0.00114435000076,0.00102675148004,0.000924286347719,0.000801248547229,0.000738011989726,0.00063835334436,0.000587826802642,0.000521554983532,0.000434808565319,0.000376506518731,0.000333296468503,0.000268815177966,0.00024373786682,0.000213623648508,0.000187508917731,0.000162934936854,0.000146576747867,0.000131702498051,0.000116681363887,0.000100210508454,8.63132514752e-05,7.73045731066e-05,7.04446639959e-05,6.06915215516e-05,5.26494323708e-05,4.4719863491e-05,4.11606083696e-05,3.58230197927e-05,3.10739639556e-05,2.84959957972e-05,2.55099169066e-05,2.28310364444e-05,1.85883625474e-05,1.71654741728e-05,1.51251585244e-05,1.3409335044e-05,1.10905638149e-05,9.60081867123e-06,8.18597515242e-06,7.32712108633e-06,6.35983985059e-06,5.57297329071e-06,4.99880698572e-06,4.50660576985e-06,3.98923429482e-06,3.3922993657e-06,3.10687460858e-06,2.88348958133e-06,2.32536594087e-06,2.0741445722e-06,1.89191315483e-06,1.69552016857e-06,1.58437354045e-06,1.39150892523e-06,1.23318332746e-06,1.05484979501e-06,9.24264524246e-07,8.48624562745e-07
8,1,10,100,10,0.0913933552801,0.0854502230891,0.0785561841669,0.070818269755,0.0653201092841,0.0600591856222,0.054304498676,0.0501762302596,0.0454430289375,0.0401836360209,0.036723399187,0.0336498343089,0.0297579095713,0.0267393660509,0.0237377555641,0.0213255729615,0.019070910494,0.0173007802136,0.0158172895223,0.0142718798834,0.0126896849785,0.0114906385985,0.0100455414984,0.00917794362739,0.008235670787,0.00736212190396,0.00649920776914,0.00593296847649,0.00525818238001,0.00462093122069,0.00423446789148,0.00383612433771,0.00342491281296,0.00312559616355,0.00274081441653,0.00236735872638,0.00212833623522,0.00195406489009,0.00175318750502,0.00153540161081,0.00139962037854,0.00121816731963,0.00107009030678,0.000957141525248,0.000859022783142,0.000739771982542,0.000681240330487,0.000585380579799,0.000538152843032,0.000475694410518,0.000392685550671,0.000337838737085,0.000298044102516,0.000236293287426,0.000213420770197,0.000186028545713,0.00016263014592,0.000139760826471,0.000125325716606,0.000112198732166,9.91228029204e-05,8.4275502016e-05,7.19858888556e-05,6.41771542464e-05,5.82827669429e-05,4.97681118869e-05,4.27080349689e-05,3.57326773618e-05,3.28324569025e-05,2.83259260632e-05,2.43248999578e-05,2.2269152505e-05,1.98435118657e-05,1.76456644658e-05,1.40423409182e-05,1.29367865277e-05,1.13184310097e-05,9.97126786053e-06,8.04899498106e-06,6.905760401e-06,5.77338998441e-06,5.14163863732e-06,4.427358799e-06,3.835734603e-06,3.43055377849e-06,3.08346333377e-06,2.72140983594e-06,2.2824123286e-06,2.09640368219e-06,1.94385167121e-06,1.51116398218e-06,1.34277092142e-06,1.22433426398e-06,1.09187133004e-06,1.02451009903e-06,8.93592619152e-07,7.91754201982e-07,6.64767585617e-07,5.81253276238e-07,5.36079718263e-07
9,1,10,100,10,0.0919904428606,0.0859720274541,0.0789931646576,0.0711607225219,0.0656009249104,0.0602807015005,0.0544652821647,0.0503009247386,0.0455246300559,0.040221753154,0.0367360513743,0.0336401421457,0.0297186757321,0.026681423945,0.0236641850722,0.0212401937974,0.0189762254426,0.0172019104833,0.0157172642154,0.0141685940363,0.0125835958606,0.0113855340411,0.00993974847361,0.00907353500803,0.00813198928226,0.00726188955857,0.00640208715221,0.00584046224257,0.0051692587733,0.00453549643875,0.0041526823849,0.00375892863473,0.00335182164213,0.00305691466263,0.00267571910873,0.00230618899099,0.00207216130601,0.00190111967461,0.00170386092571,0.00148951489312,0.00135724084211,0.00117866003092,0.00103371229309,0.000923140493486,0.000827232650558,0.000709883537152,0.000653722100988,0.000559788037073,0.000514211748155,0.000453667396386,0.000372526668566,0.000319400737509,0.000281299415295,0.000220904170064,0.000199108392039,0.000173054715857,0.000150981402647,0.000128941203464,0.000115435709051,0.000103150273217,9.10060019176e-05,7.69410631283e-05,6.54268993633e-05,5.81852701733e-05,5.2745582965e-05,4.48202267697e-05,3.82251876567e-05,3.17050388253e-05,2.91064139532e-05,2.49857761302e-05,2.13328753254e-05,1.95133428818e-05,1.73436406525e-05,1.53664708664e-05,1.20602248148e-05,1.1096659192e-05,9.66837018851e-06,8.48651759575e-06,6.74544557526e-06,5.75603812245e-06,4.74934099009e-06,4.21630151062e-06,3.61245368152e-06,3.10636041151e-06,2.77369902491e-06,2.48901080999e-06,2.19332354077e-06,1.82281610707e-06,1.67813988402e-06,1.55524839114e-06,1.17711196289e-06,1.04340100739e-06,9.51292405087e-07,8.45446043454e-07,7.95733870221e-07,6.90841893593e-07,6.12302005098e-07,5.06788065619e-07,4.42593978382e-07,4.09613514564e-07
10,1,10,100,10,0.0922981704424,0.086240435754,0.0792173255331,0.0713355878464,0.0657437664706,0.0603927231557,0.0545458309898,0.0503629407513,0.045564463041,0.0402392986741,0.0367406175417,0.0336333184273,0.0296967473843,0.0266500356325,0.0236249665084,0.0211950723297,0.018926508819,0.0171502301848,0.0156651729692,0.01411497295,0.012528690325,0.0113312888072,0.00988529946094,0.00901990571145,0.00807884150819,0.00721063134507,0.0063525385549,0.00579337206334,0.00512409231168,0.00449219199935,0.00411129195793,0.00371993980875,0.00331497581182,0.00302235772786,0.00264302715712,0.00227553888165,0.00204408421446,0.00187470342674,0.00167930405906,0.00146672141844,0.00133624043404,0.0011591209166,0.00101576991161,0.000906403574489,0.000811613395013,0.00069521681854,0.000640245540634,0.000547282650711,0.000502532348499,0.000442947148364,0.000362739786189,0.000310471764159,0.000273211894491,0.000213491027533,0.000192224846867,0.000166832619264,0.000145410486876,0.000123777135636,0.000110725604403,9.88501439452e-05,8.71579563842e-05,7.34745000243e-05,6.23385488001e-05,5.5369714071e-05,5.01482163111e-05,4.25076520881e-05,3.61367273946e-05,2.98370551101e-05,2.73802683999e-05,2.34430425857e-05,1.99558448116e-05,1.82464967325e-05,1.61969926503e-05,1.43237986196e-05,1.11588692464e-05,1.02610212935e-05,8.92114718893e-06,7.81594543771e-06,6.16008795404e-06,5.24149316081e-06,4.29279315124e-06,3.804510991e-06,3.25088381497e-06,2.78379848468e-06,2.48371029665e-06,2.22709097182e-06,1.96111745156e-06,1.62162692227e-06,1.49507952565e-06,1.38527651515e-06,1.03192095243e-06,9.13510791123e-07,8.32892284231e-07,7.38742605595e-07,6.96591709731e-07,6.0321443089e-07,5.34835562001e-07,4.38800164153e-07,3.83002703611e-07,3.55218313474e-07
11,1,10,100,10,0.0924553652654,0.0863773661671,0.0793314708638,0.0714243533758,0.0658160864023,0.0604492119591,0.0545861853431,0.0503938535287,0.0455840556977,0.0402475515516,0.0367422918594,0.0336292192487,0.0296849752945,0.0266334949376,0.0236045038996,0.0211716577236,0.0189008162657,0.0171236005426,0.0156383960924,0.0140874656004,0.0125005810971,0.0113035682818,0.00985752548738,0.00899258590884,0.0080518033794,0.00718459538611,0.00632741079907,0.00576952619703,0.00510125424326,0.00447032560152,0.00409041342147,0.00370029904285,0.00329643787859,0.00300499331921,0.00262662003428,0.00226018001345,0.00203003810602,0.00186150368522,0.00166705139651,0.00145536547408,0.00132579475105,0.00114941464326,0.00100687324829,0.000898115623457,0.000803888659559,0.000687969014896,0.000633594717723,0.000541120436258,0.000496783421286,0.000437678769972,0.000357938091912,0.000306098435496,0.000269257779039,0.000209873176858,0.000188869028634,0.000163805089638,0.000142704936057,0.000121272606254,0.000108444575803,9.67706446643e-05,8.5300079195e-05,7.18043089509e-05,6.08544312012e-05,5.4018567032e-05,4.89032460701e-05,4.14019373731e-05,3.51404180335e-05,2.89487352488e-05,2.65600230936e-05,2.27114816632e-05,1.93044806017e-05,1.76477182037e-05,1.56558489032e-05,1.38326236769e-05,1.07360747234e-05,9.86942035739e-06,8.57166650296e-06,7.50289862489e-06,5.88795617064e-06,5.0028504908e-06,4.08163941709e-06,3.61430138235e-06,3.0842232027e-06,2.63546798306e-06,2.35052045151e-06,2.10696070471e-06,1.8547670166e-06,1.52978169653e-06,1.41151766412e-06,1.30772332125e-06,9.65987791849e-07,8.54599956342e-07,7.79213884169e-07,6.90418306688e-07,6.51663562675e-07,5.63582799956e-07,4.99828258434e-07,4.08148182333e-07,3.56162778171e-07,3.30703248013e-07
