generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
0,2,30,300,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,30,300,1,0.0,5.95692522352e-30,3.45745085333e-25,2.01246992127e-22,1.78106286242e-20,5.6202872233e-19,9.24595864248e-18,9.71325868716e-17,7.3565695658e-16,4.34446966647e-15,2.11088084511e-14,8.76868787138e-14,3.2040436886e-13,1.05232975978e-12,3.15938320739e-12,8.7868106988e-12,2.28810149434e-11,5.6271978084e-11,1.3162941706e-10,2.94567038964e-10,6.33689262796e-10,1.31573624508e-09,2.64555491288e-09,5.16589048634e-09,9.81957295342e-09,1.8207333054e-08,3.29891468564e-08,5.84967579283e-08,1.01651084469e-07,1.73311917339e-07,2.90230036081e-07,4.77824957796e-07,7.7407616714e-07,1.23489269901e-06,1.94141564963e-06,3.00981004636e-06,4.60421484157e-06,6.95363944354e-06,1.03737171006e-05,1.52943422766e-05,2.22943209014e-05,3.2144236094e-05,4.58587615292e-05,6.47596207621e-05,9.0550271318e-05,0.000125403162535,0.000172060049901,0.000233945319661,0.000315291561269,0.000421275701412,0.000558162868406,0.000733453786781,0.000956029920029,0.00123628881393,0.00158626019513,0.00201969142673,0.00255208902044,0.00320070118965,0.00398442506696,0.00492362139837,0.00603981948485,0.00735529610391,0.00889251434829,0.0106734119886,0.0127185342925,0.0150460133406,0.0176704048113,0.0206014038709,0.0238424739652,0.0273894355305,0.0312290752712,0.0353378498149,0.0396807691157,0.0442105536141,0.0488671633521,0.0535777954168,0.0582574367145,0.0628100408832,0.0671303703659,0.071106507295,0.0746229910781,0.0607359175249,0.0491187860104,0.037174883467,0.0266196099812,0.0203230524862,0.015898074049,0.0109399029299,0.00640088491494,0.00490340500618,0.00243679230574,0.00189927755622,0.00159093304826,0.000875306901358,0.00045150869612,0.00011426805349,7.76212691936e-05,4.33189641295e-05,1.693056706e-05,0.0
2,2,30,300,1,4.09573303511e-14,4.52565481755e-12,3.84485788126e-11,1.71976336041e-10,5.68482568617e-10,1.56808825426e-09,3.8179873173e-09,8.46641092947e-09,1.74409923758e-08,3.38362182231e-08,6.24389264993e-08,1.10425923973e-07,1.88274204363e-07,3.10932198003e-07,4.99309862404e-07,7.82155769306e-07,1.19840004203e-06,1.80005169444e-06,2.65574825404e-06,3.85505983734e-06,5.51366036582e-06,7.77945938145e-06,1.08398310528e-05,1.49299521525e-05,2.03425503501e-05,2.74387019576e-05,3.66605136818e-05,4.85444106443e-05,6.37370551397e-05,8.30109084847e-05,0.000107283829322,0.00013763547281,0.00017533419673,0.000221849189963,0.000278884799748,0.000348387314107,0.000432548570419,0.000533951437446,0.000655340444611,0.000799951359696,0.000971297798924,0.00117326656594,0.00141023306906,0.00168673442396,0.00200766099439,0.00237861349124,0.00280566765457,0.00329319974535,0.00385130098681,0.00448164834367,0.00519330573096,0.00599229048464,0.00688982083537,0.00788150953415,0.00897426450736,0.0101816044647,0.0115062994221,0.0129469726965,0.0145061479804,0.0161745085004,0.0179501332884,0.0198350499338,0.0217239496276,0.023790827638,0.0258694276035,0.0280526838532,0.0301600582041,0.0322583098077,0.0343002507359,0.03624652441,0.0378594166309,0.0394618996528,0.0408085963909,0.0416116310577,0.042308927946,0.0428166429547,0.042181315084,0.0407866217911,0.0387886093222,0.0363894150734,0.0339208191834,0.0310230455067,0.0269830204852,0.0229922566441,0.0190566462365,0.0156288798621,0.0124978139159,0.00965403277651,0.00724857281084,0.00571470481508,0.00409463779163,0.00296390215357,0.00207962250738,0.001523566642,0.00106689532351,0.000772257495868,0.000494478532365,0.000335698499444,0.000235983544742,0.000185034668719
3,2,30,300,1,1.71134267363e-09,2.07728648953e-08,6.91356315707e-08,1.69445505597e-07,3.5366545992e-07,6.65749950996e-07,1.1647179443e-06,1.9281218639e-06,3.05579870342e-06,4.67404317083e-06,6.94085922751e-06,1.00504530769e-05,1.42386737781e-05,1.97898191179e-05,2.70435397859e-05,3.63981330195e-05,4.83284145184e-05,6.33693669056e-05,8.21489073288e-05,0.000105359269586,0.000133847484778,0.000168499112341,0.000210429511037,0.000260606145549,0.000320557340038,0.000391423373667,0.000475085759554,0.000572932985748,0.000687082387315,0.000819226824316,0.000971950042051,0.00114668668638,0.00134749417654,0.00157587800443,0.00183644368595,0.00213041152323,0.00245725093203,0.00282826300755,0.00323679586045,0.00369180873448,0.0041957479174,0.00474785022776,0.00535990275427,0.00602664986576,0.00674394238816,0.00752049581825,0.00836776862741,0.00924907590425,0.0102332914551,0.0112379076136,0.0123030729847,0.0134154561381,0.0146266176992,0.0158267904198,0.0170269230917,0.0183110310967,0.0196358721806,0.0209730982442,0.0223288261146,0.0236558722878,0.0249659730577,0.0262576932725,0.0272020992887,0.0284105726008,0.0293939033022,0.0304694818107,0.0312349616176,0.0318400641464,0.032338959151,0.0326731927007,0.0325441449214,0.0325071177713,0.0322476902045,0.0314670546288,0.0307428065526,0.0300180042341,0.0284066206565,0.0265070432074,0.0243907187905,0.0223078629524,0.0205250389374,0.0188387991419,0.0166357651948,0.0146173429485,0.0125465785261,0.0107267602384,0.0089841601839,0.00735329059455,0.00586166416717,0.00487379408789,0.00377378142438,0.00294871106475,0.00223637083489,0.00176275086181,0.00136200834531,0.00108148002719,0.000800165870506,0.000638694989058,0.000528240671598,0.000504000016728
4,2,30,300,1,2.87615415579e-07,1.32070068996e-06,3.09778374271e-06,5.89038260678e-06,1.00170737437e-05,1.58516557017e-05,2.38194118723e-05,3.4415782884e-05,4.81964747301e-05,6.5777327084e-05,8.79133173743e-05,0.000115391947177,0.000149052824829,0.000189838088514,0.000238853464989,0.000297130899459,0.000366329524281,0.000447340543642,0.000541689698077,0.000650139152017,0.000775370759599,0.000918125045626,0.00108221833277,0.0012648955263,0.00147330612775,0.001703641823,0.00196293191171,0.00224773343713,0.00256276094246,0.00290626688769,0.00328432089104,0.00368820804454,0.00413605073751,0.00461671016224,0.0051484298611,0.00571602740235,0.0063005964585,0.00695496885189,0.00762080964061,0.00833231756205,0.00908838970902,0.0098642652846,0.010710530316,0.0115886033397,0.0124677495918,0.0133750150811,0.0143477465916,0.0152559902696,0.0163108266666,0.0172566894358,0.0182150202321,0.0191471351938,0.0201869388818,0.0210695422129,0.0218246580104,0.0226756966467,0.0235028173502,0.0242667608584,0.0249960211953,0.0256185918676,0.0261822857977,0.0266804700256,0.0266340523974,0.0269903561822,0.0270391209018,0.0272535525194,0.0271269373513,0.0268257250589,0.0264972367581,0.0260621052666,0.0252461372177,0.024617431838,0.0238674235346,0.0227493702617,0.0217706307513,0.0208791470776,0.0193870534231,0.0178322813126,0.0161952061103,0.0146742221045,0.0134463040424,0.0123622520298,0.0109837656471,0.00977206599896,0.00851798213887,0.00743119586815,0.00638139092185,0.00538442232032,0.00444320852086,0.00381560927643,0.00309229851456,0.00253537019923,0.00202772290844,0.0016815632406,0.00138445505973,0.00116809731653,0.00094887864915,0.000827517753111,0.0007504472032,0.000777673690374
5,2,30,300,1,6.52756535483e-06,1.80639943707e-05,3.42914405836e-05,5.62095243334e-05,8.46645402276e-05,0.000120725791248,0.000165381744874,0.000219802926228,0.000285081655318,0.000362204835003,0.000453005364136,0.000558646391102,0.000680063560071,0.000818229746939,0.000975052673708,0.00115087582064,0.00135113962213,0.00157332672537,0.00181961461993,0.00208660901357,0.00238307926725,0.00270485294344,0.00306591404015,0.00344124762209,0.00386179127747,0.00429921196564,0.00477925804143,0.00527830522655,0.00580844073934,0.00635806615596,0.00694377928527,0.00752557101605,0.00816534315511,0.00881471171473,0.00953195438825,0.0102581970598,0.0109435810404,0.0117283519759,0.0124533779191,0.0132050154541,0.0139826022571,0.0147163478518,0.0155360770301,0.0163528569343,0.0170971592808,0.0178300257123,0.0186307373732,0.0192623118816,0.0201005590311,0.0207028986503,0.0212868833526,0.0217933776886,0.0224350288065,0.0228197544716,0.0229935658626,0.023315005226,0.0235870002925,0.0237735516976,0.0239244553967,0.0239556328869,0.02394439338,0.0238741543267,0.023217558713,0.0230484849972,0.0225811972691,0.0223368492033,0.021804376755,0.0211294182223,0.0204971890108,0.0198194950897,0.0188684645573,0.0181325195862,0.0173424646766,0.0163078589906,0.0154256452651,0.0146477979413,0.0134640144486,0.012299644061,0.0111021583709,0.0100186435608,0.00916898822897,0.00844612367201,0.00753687660147,0.00675646488985,0.0059461871889,0.00525220250123,0.00458147290003,0.00394103964887,0.00332780257322,0.00292192434301,0.00244260306939,0.00207029029129,0.00172030300538,0.00148142634692,0.00127668037569,0.00112698820518,0.000975152690528,0.000900101557241,0.000864250052262,0.000935393905734
6,2,30,300,1,5.57373228866e-05,0.000113925969924,0.000186166771322,0.000275262921843,0.000380850055992,0.000504661003558,0.000647337075086,0.000810211937546,0.000993958169439,0.00119858566426,0.00142796553227,0.00168209115298,0.00196011181226,0.0022603796957,0.00258598513519,0.00293326738281,0.00332011156841,0.00373054727135,0.00416737611728,0.00461538021702,0.00509967287984,0.00560317857636,0.00616634929766,0.00670827001359,0.00731879539444,0.00791400855468,0.00856143762183,0.00919684258152,0.00984750290083,0.0104890302048,0.0111584974099,0.0117624739532,0.0124424747643,0.0130870968691,0.0138239968149,0.0145246958784,0.0151090040327,0.0158309629465,0.0164062475719,0.0169878321734,0.0175819251289,0.0180628999534,0.0186596881226,0.0192313139252,0.0196675862191,0.0200673020134,0.020550579964,0.0207980872578,0.0213097993737,0.0215060953393,0.0216785425338,0.0217563960579,0.0219983830933,0.0219474921847,0.0216554443993,0.0215654267487,0.0214268830704,0.0212128350269,0.0209847290435,0.0206556236125,0.0203168252112,0.0199420062344,0.0190271197881,0.0186140393071,0.017946436519,0.0175197693023,0.0168733143517,0.0161220985133,0.0154491024533,0.0147695423177,0.0139020244195,0.0132363653819,0.0125522278983,0.0117064408162,0.0109968870502,0.0103821108245,0.00948876788565,0.00863883383211,0.00777557729388,0.00700609846941,0.00641344891678,0.00592108016877,0.00530434474823,0.00478310347957,0.00424110963634,0.00378098560669,0.00333692182901,0.00291205190313,0.00250192295775,0.00223445092064,0.00191226376684,0.0016621719093,0.00142240882475,0.00126114774077,0.00112470706445,0.00102705973461,0.000928549723143,0.000890281694442,0.000886695793005,0.000984389426596
7,2,30,300,1,0.000271614503653,0.000451591884415,0.000656751060694,0.000897185334539,0.00116263390724,0.0014558184761,0.00177466425606,0.00211923699009,0.00248827570901,0.00287930890626,0.00330086914238,0.00374936489433,0.00422017370124,0.00470418455658,0.00520795812762,0.005720167266,0.00628812664242,0.00686654250862,0.00745944644054,0.00803225886312,0.00864063338703,0.00924663710189,0.00993813462645,0.0105401809676,0.011242351848,0.0118742954929,0.0125684877415,0.0132030029798,0.0138271237302,0.0144060972005,0.0150045914514,0.0154629665418,0.0160255717588,0.0165027492377,0.0171084113433,0.0176316737037,0.0179734868954,0.018495941481,0.0187984024556,0.0190958940968,0.0194057448372,0.0195495345717,0.0198469481449,0.0201159916249,0.0202130648591,0.0202671941479,0.0204257603663,0.0203276599234,0.0205319187427,0.0203937695302,0.0202420134581,0.0200025745462,0.019944478548,0.0196040770175,0.019029685368,0.0186916092897,0.0183166553538,0.0178870974765,0.0174666594924,0.0169718362204,0.0164948818253,0.0160032368624,0.0150527822206,0.0145691529513,0.0138808680059,0.0134219337972,0.0128027916885,0.0121100553479,0.0115051445866,0.0109135261602,0.0101940503337,0.00964690327856,0.0090982216686,0.00844160151904,0.00789698651015,0.00743044215193,0.0067697525377,0.00615446905864,0.00553421891973,0.00498668166624,0.00457035210861,0.0042303184773,0.00380460490361,0.00344871714927,0.00307837487517,0.00276611047797,0.00246533259967,0.00217733874992,0.00189763062707,0.00171870707471,0.00149918072769,0.0013297951635,0.0011649985192,0.0010569572731,0.00096756517189,0.000906306410287,0.000845239451832,0.000831772640529,0.000848672571546,0.000957243206032
8,2,30,300,1,0.000920650164053,0.00131455759901,0.00173715717249,0.00222471078018,0.002732293567,0.003266622849,0.00381967639514,0.0043879663693,0.00496791716917,0.00555556772673,0.00616864518107,0.0067977208823,0.00743422422104,0.00805497094996,0.00867468590447,0.00927266938842,0.00994790278941,0.0106075801804,0.0112575175665,0.0118401365316,0.0124539725923,0.0130354296992,0.0137371903191,0.0142615552638,0.0149282729366,0.0154614605059,0.016072179476,0.0165730400738,0.0170379081843,0.0174275014922,0.0178350139227,0.0180351772529,0.0183766355361,0.0185915942503,0.0189787487516,0.0192484548699,0.0192976724962,0.0195668321649,0.0195711160184,0.0195695579466,0.0195912123056,0.0194180888113,0.0194334020496,0.0194309787243,0.0192459776342,0.0190248556479,0.0189252866884,0.0185823131325,0.0185548959118,0.018197035241,0.0178407554649,0.0174146789988,0.0171720825905,0.0166821316167,0.0159849645811,0.0155337068572,0.0150586916801,0.014549502751,0.0140659061707,0.0135317661199,0.0130322771704,0.0125327055043,0.0116610419692,0.011196590236,0.0105726183348,0.0101509410033,0.00961485896851,0.00902812624725,0.00852463158303,0.00804236096507,0.00747294395531,0.00704337461272,0.00661939496898,0.00612230287454,0.00571355895172,0.00536632211074,0.00488193993934,0.00443742528749,0.00399148560134,0.00360053334379,0.00330629884963,0.00306915964305,0.00277165125058,0.00252497721068,0.00226816989206,0.00205280095406,0.00184577220388,0.00164747902615,0.0014537536134,0.00133262444033,0.00118118835433,0.00106540775518,0.000951299069948,0.000878991387055,0.000820999348099,0.000783861010116,0.000747583707091,0.000749182946658,0.00077703948815,0.000885606104402
9,2,30,300,1,0.00242175651042,0.0030736594444,0.00374430244489,0.00453900041432,0.00532495107511,0.00612072243718,0.0069086437996,0.00767796112294,0.00842506207915,0.00915022980302,0.0098852566863,0.0106133882628,0.0113246271247,0.0119740760095,0.0125905626335,0.0131455522694,0.0138105798424,0.0144293500798,0.0150089982267,0.0154707503466,0.0159614189243,0.0163913782157,0.0169857310898,0.0173134604069,0.0178345264569,0.0181653273071,0.0185956092205,0.018875248642,0.0191004578067,0.0192337016758,0.0193917730906,0.0192956200605,0.0193802309259,0.0193129769781,0.0194607908899,0.019471703649,0.0192511144979,0.019278936238,0.0190267385175,0.0187748544919,0.0185618684179,0.0181476622,0.0179458019292,0.0177427204732,0.0173652680792,0.0169645151696,0.016694138515,0.0162123560559,0.0160373936386,0.0155663270277,0.0151103968597,0.0146045713568,0.0142720839948,0.0137353583123,0.0130251556055,0.0125507480406,0.0120633759175,0.0115576700565,0.0110862503158,0.010582359508,0.0101203517266,0.00966649795568,0.0089193044801,0.00851258111265,0.00798364697455,0.00762474678703,0.00718480874829,0.00671028786443,0.00630827603077,0.00592893304146,0.00548973782278,0.00516075618188,0.00483963895591,0.00446824208098,0.00416499358895,0.0039091094105,0.0035551984739,0.00323380952341,0.00291242385372,0.00263215260321,0.00242308803419,0.00225644228149,0.00204650341042,0.00187355222839,0.00169343918708,0.00154303610749,0.00139873424091,0.0012604801556,0.00112453402881,0.00104169189918,0.000936012234635,0.000856114626396,0.000776360821315,0.000727864445448,0.000690512775156,0.000668877964269,0.000648448849409,0.000658332659579,0.000690664975785,0.00079276068619
