run_ID,t4_initial,t5_initial,t10_initial,t11_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,epsilon,delta,t4_final,t5_final,t10_final,t11_final
0,0.445737776676,0.296197658515,0.169785561938,0.0882790028713,1,0,10,5,10000,10,20,0.5,0.1,0.0424578830541,0.226574520616,0.0424578830541,0.688509713276
1,0.081575541721,0.102826592165,0.675961468854,0.13963639726,1,0,10,5,10000,10,20,0.5,0.1,0.0424608585657,0.226495527267,0.0424608585657,0.688582755602
2,0.169686789431,0.189819898197,0.0582853518671,0.582207960506,1,0,10,5,10000,10,20,0.5,0.1,0.042459494962,0.226531727975,0.042459494962,0.688549282101
3,0.0861029599521,0.266881762165,0.145235682534,0.501779595348,1,0,10,5,10000,10,20,0.5,0.1,0.0424582931311,0.226563633967,0.0424582931311,0.688519779771
4,0.0208639629078,0.0853203478549,0.32801932428,0.565796364958,1,0,10,5,10000,10,20,0.5,0.1,0.0424611086201,0.226488888869,0.0424611086201,0.688588893891
5,0.117514510161,0.466894344656,0.265996918047,0.149594227136,1,0,10,5,10000,10,20,0.5,0.1,0.0424551996677,0.226645758677,0.0424551996677,0.688443841987
6,0.0246620357523,0.222065522989,0.218435670378,0.534836770881,1,0,10,5,10000,10,20,0.5,0.1,0.0424589837405,0.226545299791,0.0424589837405,0.688536732728
7,0.0434874008864,0.0443526849014,0.467504543418,0.444655370794,1,0,10,5,10000,10,20,0.5,0.1,0.0424617524199,0.226471797387,0.0424617524199,0.688604697773
8,0.180331241403,0.597401588215,0.0766289781154,0.145638192266,1,0,10,5,10000,10,20,0.5,0.1,0.0424531754612,0.22669949695,0.0424531754612,0.688394152127
9,0.103299174626,0.162621304166,0.706066271129,0.028013250079,1,0,10,5,10000,10,20,0.5,0.1,0.0424599350127,0.226520045587,0.0424599350127,0.688560084388
10,0.646184870978,0.0150136044669,0.244905682216,0.0938958423384,1,0,10,5,10000,10,20,0.5,0.1,0.0424622715328,0.22645801607,0.0424622715328,0.688617440864
11,0.0881395520198,0.28873916513,0.103886350868,0.519234931982,1,0,10,5,10000,10,20,0.5,0.1,0.0424579526969,0.226572671754,0.0424579526969,0.688511422853
12,0.228185187672,0.446266152907,0.0342695887472,0.291279070674,1,0,10,5,10000,10,20,0.5,0.1,0.0424555236372,0.226637157995,0.0424555236372,0.68845179473
13,0.100922671014,0.769120058427,0.0190761443219,0.110881126237,1,0,10,5,10000,10,20,0.5,0.1,0.042450500169,0.226770520128,0.042450500169,0.688328479534
14,0.17898205026,0.309363338457,0.0143680228216,0.497286588462,1,0,10,5,10000,10,20,0.5,0.1,0.0424576402071,0.226580967675,0.0424576402071,0.688503751911
15,0.0809401699434,0.210184355675,0.299206154512,0.40966931987,1,0,10,5,10000,10,20,0.5,0.1,0.0424591781144,0.226540139587,0.0424591781144,0.688541504184
16,0.481333821752,0.0244523225085,0.17106920392,0.32314465182,1,0,10,5,10000,10,20,0.5,0.1,0.0424621021552,0.226462512677,0.0424621021552,0.688613283013
17,0.600570852276,0.0335258456524,0.342635675899,0.0232676261719,1,0,10,5,10000,10,20,0.5,0.1,0.04246198284,0.226465680236,0.04246198284,0.688610354084
18,0.454724972353,0.346279606209,0.0170992057109,0.181896215727,1,0,10,5,10000,10,20,0.5,0.1,0.0424571011915,0.226595277366,0.0424571011915,0.688490520251
19,0.0748881400987,0.153039067594,0.0696474146784,0.702425377629,1,0,10,5,10000,10,20,0.5,0.1,0.0424600543917,0.226516876336,0.0424600543917,0.688563014881
20,0.398480132701,0.23184981873,0.260495002578,0.109175045991,1,0,10,5,10000,10,20,0.5,0.1,0.0424588790257,0.226548079741,0.0424588790257,0.688534162207
21,0.10737831587,0.262654736574,0.1361159038,0.493851043756,1,0,10,5,10000,10,20,0.5,0.1,0.0424583609021,0.226561834793,0.0424583609021,0.688521443402
22,0.328971668856,0.482978522711,0.0581820591789,0.129867749253,1,0,10,5,10000,10,20,0.5,0.1,0.0424549674252,0.226651924212,0.0424549674252,0.688438140938
23,0.099308451851,0.209269043889,0.0351383384637,0.656284165796,1,0,10,5,10000,10,20,0.5,0.1,0.0424591838354,0.226539987708,0.0424591838354,0.688541644621
