generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
0,5,20,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,20,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000350490214264,0.00127326433438,0.00127326433438,0.0030348556348,0.00443700844166,0.00549325988492,0.00658599463329,0.00907961348826,0.0098605598269,0.0105285151386,0.0130558174758,0.0183780874426,0.0240623897003,0.0388321179379,0.0510383424886,0.0657284905604,0.0769935872255,0.0857106063209,0.111215563943,0.0876961656411,0.0744157686553,0.0607455641854,0.0489723030375,0.0374780318453,0.0372021890372,0.0317831869937,0.0194238664159,0.015594641169,0.0144084684317,0.0103121503198,0.00560217661844,0.00518453610199,0.00434441848808,0.0039786112635,0.00298269145205,0.00224969830908,0.000693703008573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,20,100,1,0.0,0.0,0.0,0.0,9.36913413204e-07,1.38370126961e-06,3.15359155685e-06,3.15359155685e-06,9.37281497854e-06,9.82024593937e-06,1.00213425128e-05,1.27347179585e-05,1.93712276927e-05,2.56048874493e-05,2.89864400723e-05,3.51289309308e-05,4.47378867945e-05,6.52104125965e-05,7.531648975e-05,7.531648975e-05,0.000103119560465,0.000142792050867,0.000195979606195,0.000253471612245,0.000294046155331,0.000446355316826,0.000623008216572,0.000905813684842,0.00116517587669,0.00164349645342,0.00210823602618,0.00271698646923,0.00357162073385,0.00441526542749,0.00607199470547,0.00743386458044,0.00898679125838,0.0111616117934,0.0139581124737,0.0167518958294,0.0197370238389,0.023616531584,0.0292530630136,0.0350689800642,0.0424111717336,0.0481752122952,0.052657829429,0.0565221238428,0.0576120495662,0.0587055887903,0.0570357092595,0.0563431490918,0.0500854629353,0.0466052281718,0.0430172430217,0.0383338458965,0.0343354901709,0.0288226127529,0.0246031758812,0.0211925065844,0.0178654454561,0.0147032632284,0.0126436762453,0.0105992524046,0.00895446068838,0.00669706729391,0.00519652432274,0.00376041879378,0.00308693864236,0.00241281121124,0.00175145537357,0.00112938703118,0.000816116330053,0.000695376962809,0.000594115953297,0.000433259198501,0.000351128563195,0.000277307315402,0.000195883697759,8.08174248526e-05,5.33027339035e-05,4.49046060323e-05,3.21174033054e-05,2.56195488418e-05,1.88108802981e-05,1.65168649456e-05,1.14774821565e-05,1.04954240514e-05,1.04954240514e-05,9.22268536783e-06,9.22268536783e-06,9.22268536783e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,20,100,1,2.54443109195e-06,2.99874399225e-06,4.158220591e-06,5.07725057671e-06,8.7536648202e-06,1.18327673043e-05,2.01663954635e-05,2.36929945678e-05,3.97457082735e-05,4.68032142007e-05,5.28957043924e-05,6.86567239867e-05,8.62644256469e-05,0.000109129457182,0.000128507756286,0.000148551434066,0.000188535953213,0.000239092862982,0.000288022317498,0.00031589660124,0.000401242125581,0.000508472479831,0.000666411350609,0.00083269489781,0.00101299054533,0.00136943261396,0.00177510420495,0.00229811336234,0.00275469345797,0.00346697700445,0.00420015272935,0.00505576249807,0.00610223027085,0.00730337827025,0.00909608750845,0.0106282160946,0.0121469385288,0.0143955679106,0.0173626820564,0.0201068345441,0.022876520932,0.0260696102718,0.0305123519147,0.0347483239796,0.0393814357947,0.0418565301382,0.0434202510862,0.0450550428051,0.0449888090847,0.0450237030557,0.0444289291866,0.0448968372198,0.0417651113834,0.040474215729,0.0393554948386,0.0360739013967,0.0336581625171,0.0304221437075,0.0271459653646,0.0244017233269,0.0217059062655,0.0190660381856,0.0170687203342,0.0149321017011,0.0130158075144,0.0102984036225,0.00842812884701,0.00679687887357,0.00586902144598,0.00480648847686,0.003752380131,0.00287410856117,0.00226321718702,0.00190923785281,0.00166423202012,0.00129396313528,0.00101381795676,0.000824215542097,0.000605702497537,0.000440668670333,0.00032939697849,0.000273745185478,0.000204374252519,0.000165536216303,0.000123760077082,0.000102355089703,7.86975523244e-05,5.89050918538e-05,4.88960760031e-05,4.22525236247e-05,3.72776800656e-05,3.03150989802e-05,1.18996967509e-05,8.73868961742e-06,6.58644138523e-06,4.84822822983e-06,3.98254090467e-06,3.45054098299e-06,2.9227946385e-06,2.64760975455e-06
4,5,20,100,1,1.46016202447e-05,1.66064647901e-05,2.05162142329e-05,2.42509905864e-05,3.30282769639e-05,4.26517650746e-05,6.24637768573e-05,7.57306539461e-05,0.00010487355054,0.000126302539367,0.000145578740445,0.000183040796628,0.000220442161129,0.000274040242136,0.000320496488086,0.000364341408009,0.000449163469633,0.000550264594737,0.000655510497447,0.000732733371943,0.000893936676439,0.00107460242498,0.00134163450752,0.00162322513542,0.00196271147151,0.00249427923179,0.00308218569502,0.00375673324275,0.00433208426553,0.00517027014394,0.00604407428082,0.00703159052365,0.00817621948018,0.00949704666385,0.0112882592959,0.0128067332325,0.0140972241125,0.016120724206,0.0188185768484,0.0211357217834,0.0233952563928,0.0258537726688,0.0293033850719,0.0324465662838,0.0357443758512,0.0369288642756,0.0375090589711,0.0384137978867,0.0381232320977,0.0380276967151,0.0376639299698,0.0382566880952,0.0362921225666,0.0357524855165,0.0355049889425,0.0332960910074,0.0318485850894,0.0297928172808,0.0273530101703,0.0252761344536,0.0231676953459,0.0210945944478,0.0194467295303,0.0175287879608,0.0157053557574,0.0129357454808,0.0109742833715,0.00932604289846,0.00828500808989,0.00695954797434,0.00566769303198,0.00463104600853,0.00382880461093,0.00329167925919,0.00294242010433,0.00238598793261,0.00189484198738,0.00159350837384,0.00124132484057,0.00100975244746,0.000797477633816,0.000677151798329,0.000528254843488,0.000442188261651,0.000346826868134,0.000289685548582,0.000229413839202,0.000176640795411,0.000143314596113,0.000121723499276,0.000102581820814,8.07655894381e-05,4.95467670226e-05,3.84647690722e-05,2.9739522275e-05,2.31171191154e-05,1.94826680934e-05,1.69377443472e-05,1.48832562133e-05,1.36234537422e-05
5,5,20,100,1,4.64705043869e-05,5.12018969273e-05,5.91049545557e-05,6.75987609569e-05,8.34490488974e-05,0.00010390588336,0.000139104409903,0.000168611752155,0.000214821372534,0.000256608389993,0.000295641307226,0.000361670177094,0.000425959993082,0.000520465002966,0.00060057809968,0.00067346355784,0.000810500934672,0.00097251173756,0.00113897296559,0.00127268617439,0.00150379849761,0.00175157028737,0.00210618399495,0.00248637157347,0.0029609829898,0.00362039703849,0.00433154234047,0.00509395239877,0.00572250654533,0.0065986038617,0.00751801824622,0.00854320226914,0.00968015980461,0.0109786820936,0.0126660374162,0.0140708027117,0.0150948092364,0.016836270267,0.0191928145115,0.0211003157594,0.0229306797774,0.0248576722803,0.0276357116878,0.0300897845293,0.0326393560026,0.033253457831,0.0334206926971,0.0340264502724,0.0336802745292,0.0335698711246,0.0333176747414,0.0339180941251,0.0324998559843,0.0322939052946,0.0324160563614,0.0308445476628,0.0299584997707,0.0285793722654,0.0267178622079,0.025121124888,0.0234798671032,0.0218845438482,0.0205933003633,0.0189494746076,0.017326594112,0.0146851491281,0.0127774082131,0.0112264731975,0.0101795267693,0.00871072008607,0.00729986921524,0.00619059187505,0.00528691919514,0.00462541108372,0.00422731762923,0.00353454172485,0.00286275691816,0.00247518908368,0.00200853183813,0.00171423627497,0.00139769008482,0.00121129342782,0.00097670277748,0.00083815357406,0.000683636494447,0.000580854125758,0.000470717259245,0.00037649427624,0.000309182038858,0.000263062938601,0.000221890991692,0.000176018953524,0.000124991978345,0.00010061541935,8.001097119e-05,6.529110269e-05,5.6349817654e-05,4.99687167555e-05,4.52075147126e-05,4.21524691344e-05
6,5,20,100,1,0.0001091906214,0.000117171619055,0.000129214650095,0.000143473196709,0.000167197208084,0.000201774810445,0.000254960914697,0.000305595928969,0.0003720498319,0.000437514821973,0.000500319324071,0.000598572361286,0.000693922630873,0.00083408554544,0.000949090282207,0.00105133996542,0.0012401844088,0.00146305239878,0.00168597427586,0.00187164636768,0.00215669445653,0.0024581065883,0.00287264231376,0.00332655523951,0.00390020602684,0.00464274303875,0.00542744937329,0.00623070567746,0.00686563630218,0.00772204158009,0.00862780726967,0.00963327058141,0.0107036834628,0.0119156560886,0.0134598439981,0.014721103774,0.0155055364919,0.0169898149439,0.0190431207463,0.020626206827,0.0221353623511,0.0236937478631,0.026018005354,0.0280239245414,0.0301128061075,0.0304363679837,0.0304031603999,0.0308611892311,0.0305056815658,0.0304074317361,0.0302243061691,0.0308130048479,0.0297039649395,0.0296752394586,0.0299795915186,0.0288009060861,0.0282554818238,0.0272900008495,0.0258198130247,0.0245580898132,0.0232652366013,0.0220356355649,0.0210419819976,0.0196482701813,0.018236185352,0.0157826074223,0.0139865916004,0.0125771879715,0.0115811240811,0.0100531210192,0.00860268109782,0.00748331164848,0.00654304504494,0.00580804217347,0.00540518332709,0.00462672397332,0.00381772791882,0.00337477092517,0.00282027842902,0.00247751683041,0.00206567824935,0.00182207259654,0.00150786393958,0.00131942894707,0.00110952354562,0.000958372082743,0.000791433069296,0.000653093078726,0.000546357803236,0.000468596541228,0.000400358737563,0.000322557878025,0.00024487061026,0.000202690040351,0.000165698612587,0.000140546649242,0.000124003778145,0.000112512742565,0.000104504124424,9.93822046818e-05
7,5,20,100,1,0.00021205231632,0.000222694218506,0.000237437112515,0.000257018706647,0.000287741684493,0.000338011911148,0.000410213993651,0.000484452519203,0.000572596196274,0.000662404470765,0.000750183586955,0.000881218695507,0.00100875519708,0.00119457329724,0.00134165549543,0.00146999094686,0.00170487132645,0.00198205831212,0.0022516670836,0.00247888467808,0.00280014746545,0.00313994850063,0.00358930542745,0.00409252085189,0.0047311611411,0.00552130518197,0.00634295130778,0.00715444289609,0.00776709682347,0.00857243338225,0.00943360970392,0.0103906962605,0.0113713080183,0.0124764172619,0.0138734953964,0.0149940544131,0.0155811211559,0.0168507571541,0.0186558684161,0.0199916421532,0.0212626636046,0.02256030264,0.0245661045559,0.0262656892272,0.0280481305805,0.0282072269895,0.0280677197983,0.0284420944931,0.0280927832716,0.0280123124395,0.0278762903842,0.0284495661931,0.0275384142812,0.0276150133564,0.0280184511578,0.0270975701961,0.0267711084132,0.0260746653004,0.0248770000825,0.0238531252167,0.0228176029682,0.0218619117193,0.0211030963151,0.0199179286895,0.0186948850681,0.0164351815532,0.0147657587999,0.0135047659147,0.0125834425151,0.0110474722143,0.00960483100679,0.00851379540196,0.00757832103551,0.00680768668232,0.00642926429458,0.00560605787205,0.00470162475942,0.00423113360348,0.00361547698333,0.00324115573683,0.00274927420592,0.00246196415549,0.00208080319652,0.0018497360364,0.0015934352376,0.00139647649027,0.00117147195695,0.000990738779688,0.000844128208225,0.000730982391129,0.000633813195291,0.000518825824911,0.000409520026678,0.000346882783592,0.000290975588786,0.000254687497932,0.000229229419339,0.000212665412635,0.000202155772472,0.000195843844567
8,5,20,100,1,0.000361014396821,0.000372513469998,0.000386885718596,0.000409865022949,0.000444992084989,0.000510690206637,0.000601414995375,0.000699366040513,0.000808836485197,0.000921535717912,0.00103322724939,0.00119521499077,0.00135361467753,0.00158175461439,0.00175576782679,0.0019049785166,0.002177511756,0.00249954477436,0.00280461140324,0.00306140862854,0.00340311611005,0.00376733719245,0.00423176779984,0.00476390308762,0.00544025690323,0.00625232486668,0.00708590885476,0.00788474589834,0.0084599377335,0.00920034418298,0.0100038439345,0.0109013274411,0.0117881994045,0.0127866957254,0.0140476692474,0.0150420243165,0.0154712331348,0.0165663092993,0.0181717562348,0.0193184403932,0.0204099424994,0.0215171267914,0.0232898557841,0.0247697869102,0.0263353998362,0.0263941851539,0.0261951426885,0.0265171140543,0.0261792992125,0.0261160792439,0.0260138900388,0.0265714040242,0.0257973801145,0.0259411249153,0.0264015448365,0.0256595238196,0.0254810432308,0.0249691443703,0.0239685123258,0.0231183721946,0.022275165855,0.021525692885,0.020949998306,0.0199340212097,0.0188715412415,0.0167914174786,0.0152449209656,0.0141231037127,0.013282655467,0.0117675014519,0.0103586424507,0.00931662274869,0.00840993505924,0.00762943665975,0.00729235736744,0.00645390448014,0.00548855119637,0.00501231203251,0.00435847710871,0.00396803427775,0.00341296266551,0.00309613614316,0.00266287432792,0.00239832019873,0.00210658416358,0.00186943711899,0.00158914185719,0.00137048242688,0.00118717294241,0.00103804925961,0.000912746676397,0.000758175056501,0.000614675271526,0.000531013916392,0.000455973638628,0.000409668164203,0.000375292561774,0.000355310744712,0.000344575216478,0.000339353312745
9,5,20,100,1,0.000558218951213,0.00056774375013,0.000577360780761,0.000600619110599,0.000636166727101,0.000715475616918,0.000823004049633,0.000942906404473,0.00107190443652,0.001204618861,0.0013376626272,0.00152723750063,0.00171356756133,0.00197879069899,0.00217365482255,0.00233792175534,0.0026391067142,0.00299591427522,0.00332579293377,0.00360101651998,0.00395055155592,0.00432771090324,0.00479290933473,0.00533839486152,0.00603237218922,0.00684885991904,0.00767821285618,0.00845203423726,0.00898320066314,0.0096550429862,0.0103976738986,0.0112336194152,0.0120316987017,0.0129320728529,0.014072591894,0.0149577360501,0.01526152089,0.0162150830662,0.0176593284804,0.0186592193291,0.0196123110601,0.0205759102921,0.0221714942696,0.0234872850264,0.0248917686844,0.0248859031836,0.0246524324068,0.0249388909423,0.0246139828787,0.0245658276903,0.0244887630257,0.0250310121998,0.0243573301246,0.0245458363487,0.0250397767189,0.0244274929052,0.0243530708549,0.0239733008145,0.0231201451908,0.0224006130525,0.0217038314018,0.0211118711754,0.020679527131,0.0198003061374,0.0188717833903,0.0169512324801,0.0155172242717,0.014519905109,0.0137580013094,0.0122787553552,0.0109166573604,0.00993306807747,0.00906774269718,0.00829391522647,0.00800648093021,0.00717259761909,0.00617267908813,0.00570626563685,0.00503245710449,0.0046383248758,0.00403585902432,0.0037022700082,0.00323127765348,0.00294245807774,0.00262615703596,0.00235571906604,0.00202529214764,0.00177453651883,0.00155984796688,0.00137654626397,0.00122576762291,0.00103168522861,0.000853595679575,0.000750151245531,0.000657801536603,0.000604169375425,0.00056213379144,0.000541877408518,0.000534565181718,0.00053399693691
